DAY 3 — QUADS & LEGS
"Focus: quads, adductors, calves"
WARM-UP
Warm-up: Couch Stretch,2,30s/side,,,Static hold to release tight quads/psoas before loading.,
Warm-up: Tibialis Raises,2,20,,,Strengthens shin muscles prevents knee pain.,
MAIN
ATG Split Squat,3,8-10/leg,90s,,Loads quad while stretching psoas of rear leg. Knee over toe is safe here.,
Front Squat (or Goblet Squat),4,6-8,120s,,Upright torso. Core heavy.,
Leg Extension,3,12-15,60s,,Rectus Femoris isolation. Squeeze hard at top.,
Sissy Squats (Bodyweight or Weighted),3,Failure,60s,,Extreme quad stretch. Use support if needed.,
Adductor Machine (Inner Thigh),3,15-20,60s,,Crucial for pelvic stability and often weak in men.,
Standing Calf Raises,4,10-12,45s,,Targets Gastrocnemius (upper calf). Heavy weight.,
CORE
Hanging Knee/Leg Raises,3,10-15,60s,,Spinal decompression + hip flexor strength.,
Cable Woodchoppers,3,12/side,60s,,Rotational core power. Mimics BJJ torque patterns.,
