DAY 2 — PUSH · CHEST · SHOULDERS · TRICEPS
"Focus: chest, shoulders, triceps"
WARM-UP
Warm-up: Band Pull-Aparts,2,20,,Resistance band,Activates rear delts/rhomboids to set scapula.,
Warm-up: Band Shoulder Dislocates,2,10-12,,Resistance band,Wide grip; pass the band overhead and behind in one smooth arc. Opens the shoulders through full range before any pressing.,Widen the grip if it pinches — never force the pass-over.
Warm-up: Band External Rotations,2,15/side,,Resistance band,Rotator cuff activation: elbow pinned to the side at 90 degrees; rotate the hand out slowly and control the return.,
Warm-up: Cuff Isometric Hold (Cable),2,20s/side,30s,Cable (low pulley) + D-handle,Isometric external-rotation hold at 90/90 against light cable tension. Builds cuff tendon resilience and primes shoulder stability under load.,Light weight — a steady hold with no shaking.
Warm-up: Thoracic Extensions (Bench),2,10 reps,,Sliding Bench,Hands behind head with the mid-back on the bench edge; extend over it to mobilize the upper back vertebrae.,
MAIN
Incline Press (Smith Machine),4,8-10,120s,Smith machine + Sliding Bench,Upper pec focus. 15-30 degree incline. The Smith bar path makes heavy solo pressing safe.,
Standing Overhead Press (Barbell),3,6-8,120s,Barbell,Core/Glute stability required. Do not arch back. Unrack from the J-hooks at shoulder height.,
Close-Grip Bench Press (Smith),3,8-12,90s,Smith machine + Sliding Bench,Chest and triceps compound replacing dips. Hands just inside shoulder width; tuck elbows ~45 degrees.,No spotter needed — rotate the Smith bar to rack it anytime.
Cable Crossovers (Low to High),3,12-15,60s,Cables (low pulleys) + D-handles,Step into a staggered stance and let the hands travel behind the chest plane for a deep pec stretch before sweeping up. Last set: stretched-position partials after failure.,
Egyptian Lateral Raises (Cable),4,12-15,45s,Cable (low pulley) + D-handle,Unilateral delt work with tension in the stretched bottom position dumbbells can't give. Lean away holding an upright. Last set: bottom-half partials after failure.,
Overhead Tricep Extension (Cable),4,12-15,60s,Cable (low pulley) + triceps rope,Primary triceps move — the overhead stretch grows the long head ~1.4x more than pushdowns. Last set: stretched-position partials after failure.,
Cross-Body Tricep Extension (Cable),3,12-15/side,60s,Cable (high pulley) + D-handle,Single-arm extension pulling across the body. Constant tension through the full range with a hard lockout squeeze.,
Face Pulls,4,15-20,60s,Cable (high pulley) + triceps rope,External rotation for rotator cuff health.,
CORE
CIRCUIT,rounds=3,rest=90s,label=Core + Conditioning
Barbell Rollout,,40s,20s,Barbell + plates,Anti-extension: kneel and roll the bar out only as far as you can keep ribs down.,Stop before the lower back arches.,
Hanging Leg Raise,,40s,20s,Pull-up bar,Hip & trunk flexion: control the descent; no swinging.,,
Fast Step-Ups,,40s,20s,Step platform,Metabolic finisher: quick alternating step-ups; full foot on the step.,,
ENDCIRCUIT
